#          lgT                    lgLx
-2.804152864124906941e-01 -2.216630029515170630e+00
2.608549963235629598e-01 -8.189989342143940698e-01
-9.779467565801043261e-01 -3.863513898650880130e+00
-5.459918704354980168e-01 -2.852049914919237761e+00
-1.348666804167295785e+00 -4.987763705688296412e+00
-1.199390719245791104e+00 -4.873927023496640309e+00
-1.417338512836656239e+00 -5.075369117553694132e+00
-1.185473699804489467e+00 -4.522834335323396182e+00
-8.716312479494672250e-01 -3.883963340197939207e+00
-6.926371824005008726e-01 -3.156603404637498222e+00
-7.826870220134538592e-01 -3.650487099792005363e+00
-1.163909036550179410e+00 -4.504750691968481213e+00
-1.155692953052441352e+00 -4.679168591352687478e+00
-8.995407864298252676e-01 -3.848035795834388928e+00
-1.349708413926619111e+00 -4.992150034678537907e+00
-1.124753462998159481e+00 -4.738305196530205876e+00
-4.583233212270262369e-01 -2.652590564271525952e+00
-1.041873305069592304e+00 -4.086268594909786778e+00
-1.050893827171264006e+00 -4.594015438376078286e+00
-1.001920189504640790e+00 -4.189604642880566665e+00
-1.059853336286366465e+00 -3.933488989651285017e+00
-1.148867002027698758e+00 -4.505397284874616659e+00
-1.135853250574628603e+00 -4.738561468739776572e+00
-2.149195695401401041e-01 -2.251302027265758010e+00
-1.435671499174097088e+00 -5.172840978059602079e+00
-5.849125093143602294e-01 -3.123888917384895603e+00
5.835754686181646722e-01 7.847461722712767429e-02
-1.703842162317204534e-01 -1.885677049578452724e+00
-1.123571429817563222e-01 -1.859847656195548371e+00
-1.357389889508006320e+00 -5.119655072394341921e+00
-1.256273613787192378e+00 -4.680793903168900094e+00
-1.263581155343748597e+00 -4.582737682310827232e+00
-1.369906705254624768e+00 -4.971963070268013318e+00
-8.563120138646036494e-01 -3.791593317307749178e+00
-6.138012920754044588e-01 -2.891728659431479276e+00
5.635869420456238732e-01 -9.166427623217580922e-02
-3.687333652710581000e-01 -2.737080240422094413e+00
-1.253232753441567482e+00 -4.647595468383184603e+00
-1.203970467390039101e+00 -4.634976701587745218e+00
-7.284844225005748797e-01 -3.470151584219059782e+00
-1.112420459553611352e+00 -4.308693467276231814e+00
-3.258323602516782769e-01 -2.599310924785814603e+00
-1.029473045703683365e+00 -4.137150881720513595e+00
-9.294614697484714361e-01 -3.898061615985595196e+00
-3.342673366463414508e-01 -2.320544024424465945e+00
-1.168978461923428913e+00 -4.553192356684332864e+00
-1.376859791265309774e+00 -4.964821513905963712e+00
-1.392964957741830156e+00 -5.108898505284167335e+00
-1.029416301723459659e+00 -4.231743010796365390e+00
-1.050316358317146204e+00 -3.952896325299095182e+00
-6.574521321674943186e-01 -3.179571962454153411e+00
-1.339207528577919026e+00 -5.021753869145404003e+00
-1.262397287843813443e+00 -4.835324105122050575e+00
-1.354131116260078427e+00 -4.775576935625152508e+00
-7.614364296810870458e-01 -3.457913831268888405e+00
-7.663069659488752627e-01 -3.746037737886524166e+00
-1.047218827177704092e+00 -4.061711680496163268e+00
-8.047493966535753662e-01 -3.719546723156537116e+00
-1.361611846816460192e+00 -5.074130583392871152e+00
-3.481355295473563816e-01 -2.225712774905796998e+00
-1.482747013007293058e+00 -5.338991966104997822e+00
-1.273649371232082217e+00 -4.770668259576541281e+00
6.649419680531398757e-02 -1.375626182699766886e+00
-1.095548075681130662e+00 -4.343615498838902411e+00
-4.849522838165236660e-01 -2.774146042022427761e+00
-1.199644231364034086e+00 -4.701518025693467884e+00
-1.159369674005621631e+00 -4.306976886209918476e+00
-1.252248290943386078e+00 -4.697766075700974930e+00
-1.363856959833452898e+00 -5.040715510461220461e+00
-8.620822782900351422e-01 -3.756128584518791946e+00
5.287117485228819413e-01 -6.537230432238655409e-02
-1.195076843663571031e+00 -4.304669461901389660e+00
-1.746877660731294135e-01 -2.206041726372399481e+00
-1.203172549761973853e+00 -4.486026764890172380e+00
-8.797005864972260447e-01 -3.811933332910708572e+00
-9.049276449225199803e-01 -3.825538648557636812e+00
-7.784347151887581751e-01 -3.847645780865208920e+00
-8.576322211284121977e-01 -3.870566637908566143e+00
-9.941044354638661762e-01 -4.576820654975882974e+00
-1.279588999882834033e+00 -4.922838281301049612e+00
-1.193251621578947708e+00 -4.531535470186546455e+00
-1.079721132692090579e+00 -4.208308679389030971e+00
-1.483999362895563001e+00 -5.319989264724089395e+00
-1.454880692344909354e+00 -5.132962013177783334e+00
-1.190165313428458660e+00 -4.556092707369598926e+00
-1.303519668185191049e+00 -4.960541289916522878e+00
-1.482842187077431984e+00 -5.395935688885201920e+00
-6.804732023675745811e-01 -3.243530136125302832e+00
-4.887119130138068979e-01 -2.677913648125408663e+00
-1.042120198060196623e+00 -4.165687379707363469e+00
-1.083332384486485278e+00 -4.268959929428098654e+00
-1.462937236089187909e+00 -5.220823854779356843e+00
-1.112422780526210575e+00 -4.340643665422705411e+00
-9.718967344511578732e-01 -3.955855449964443160e+00
-1.041631791789589201e+00 -4.229561017314752647e+00
-1.468535555224030675e+00 -5.264853100083070281e+00
-1.278520170215837526e+00 -4.754450255400644920e+00
-9.905536103028562689e-01 -4.081542842339313637e+00
-1.252157494814774008e+00 -4.617535056651016490e+00
-1.130083056727524182e+00 -4.417338734245953802e+00
-5.787974901947301465e-01 -3.217791889855255771e+00
-8.788862826800714068e-01 -3.638779643294903110e+00
-1.090855833535983033e+00 -4.248358913081739630e+00
-1.532229811775527528e+00 -5.434164131952416099e+00
-1.431113141886834805e+00 -5.114315400883747920e+00
-1.177633130924720994e+00 -4.638583735679506326e+00
5.387592677308662426e-01 -1.405617494113457211e-01
-6.322347945842139716e-02 -1.468343387888634499e+00
-1.463629466622295761e+00 -5.291772583616720205e+00
-1.433451901817483165e+00 -5.080687300131445205e+00
-7.590370949261577849e-01 -3.581379383441060327e+00
-1.055362663578624183e+00 -4.270793889907925411e+00
-7.962154508203591607e-01 -3.162634247035358559e+00
-9.972630567692163384e-01 -4.196438312504418455e+00
-1.070648656996935788e+00 -4.262601605006640426e+00
-1.392807374699260636e+00 -5.004400472103745834e+00
-1.224493128573110434e+00 -4.623599643806755921e+00
-1.567034249671254154e+00 -5.329772565452222999e+00
-6.596901084875028687e-01 -2.942618397387289253e+00
-7.796733188167839224e-01 -3.592029171637960427e+00
-1.281152727222649501e+00 -4.659305781078764142e+00
-9.479313257084760469e-01 -3.945065086248611852e+00
-9.062724915407446291e-01 -3.821868463714017228e+00
-5.529326186693472867e-01 -3.098584312073168423e+00
-1.033810787081302252e+00 -4.143649921744612996e+00
-1.266647777772633487e+00 -4.526672940855218208e+00
-4.997503483960703541e-01 -2.795873537403600118e+00
-6.248077219942753668e-01 -3.248861000628249673e+00
-9.331526399294268748e-01 -3.918343171477376874e+00
-5.602904291610117937e-01 -3.025148312905857395e+00
-9.751985885726046632e-01 -4.047640523833569759e+00
-1.112285841978216672e+00 -4.503675584111597630e+00
-9.419284482920623480e-01 -3.911583318722872349e+00
-9.492756444221387424e-01 -3.999939486060364313e+00
-1.132618264572352595e+00 -4.372454133186372438e+00
-6.564334177926225422e-01 -3.292091094425570130e+00
-1.448528460757092517e+00 -5.191143592894563952e+00
-1.147816517355081833e+00 -4.603118434156369787e+00
-1.011751611216269664e+00 -4.106751066735927047e+00
3.335802579442335714e-01 -5.301926757607370311e-01
-8.630077045184937345e-01 -3.722108657674489507e+00
-1.167659679760695290e+00 -4.546363844915251029e+00
-9.539640212900882821e-01 -3.890097218440509597e+00
-1.359541761459051923e+00 -5.167836731230845970e+00
-1.472783879198239498e+00 -5.395152200801925702e+00
-1.419975934857901745e+00 -5.184382868619639595e+00
-1.192825790151492704e+00 -4.722677065958471587e+00
-1.356148600511567270e+00 -4.938644856940467953e+00
-3.217499880533921108e-01 -2.267189887693295436e+00
-7.565190915267406835e-01 -3.444034432400757240e+00
-5.635002833221494090e-01 -3.149102534598305692e+00
-6.448227798688636048e-01 -3.100158173558287267e+00
-9.370966296122188455e-01 -3.851449656521706455e+00
-6.777871757268959518e-01 -3.025613057310191589e+00
-6.282840774123953365e-01 -3.007587525643054427e+00
-7.517010109646369287e-01 -3.430175183660797433e+00
-1.168566663408401984e+00 -4.880564892224722229e+00
-1.214077041386738998e+00 -4.629507101400040625e+00
-1.006825686821062327e+00 -4.072786361484410200e+00
-1.456955932721238467e+00 -5.283566213168324310e+00
-4.406379400652282730e-01 -2.972920570850517308e+00
-7.388059441923418014e-01 -3.284824195932622537e+00
-4.445348119057441205e-01 -2.649117407014059289e+00
-5.090927073286496407e-01 -2.992012894801833855e+00
-1.079485544142252618e+00 -4.339719920378801277e+00
-9.065659269733006287e-01 -3.498755320931075108e+00
-1.191719302375182865e+00 -4.533524599800284882e+00
4.526624709103854727e-01 -4.638602470578253589e-01
-1.070754054670870259e+00 -4.291003746040890299e+00
-9.796323406794699151e-01 -4.005135954831460232e+00
-4.756362305405154034e-01 -2.716627140538336871e+00
-1.005983211394622767e+00 -4.440083921613646289e+00
-8.993849535131188677e-01 -3.790752593369819401e+00
-1.242323964028428263e+00 -4.541282224739851436e+00
-1.254809905695826178e+00 -4.705857823050261679e+00
-1.167986554510724639e+00 -4.514692025967990574e+00
-1.198308902126570263e+00 -4.761355717401552390e+00
-1.285828266038359313e+00 -4.852841963231764311e+00
-1.150972027129747888e+00 -4.463690085931534490e+00
-6.137283071485760688e-01 -3.115666196296526635e+00
1.400417621159355530e-01 -1.140882004794476101e+00
-7.811278897721670722e-01 -3.571243247919068331e+00
-1.036754859363243186e+00 -4.165172972691014053e+00
-4.614106840164484691e-01 -2.830730493116737634e+00
-9.742948449451124260e-01 -4.179766012040200707e+00
-8.178023158020142347e-01 -3.648705792534998604e+00
-9.901251110096759289e-01 -4.077910926061970365e+00
-1.218022719291601774e+00 -4.688318259484508310e+00
-1.227405897570643667e+00 -4.568739999550193609e+00
-1.277410036841544860e+00 -4.914742111264410518e+00
-6.250515058330536888e-01 -3.010081507966284597e+00
-5.078876051434649819e-01 -2.881883659801718345e+00
-1.207491796384972726e+00 -4.773680658960784307e+00
-1.148187525232098993e+00 -4.132121091739514362e+00
-1.128010144311171414e+00 -4.549267085798304855e+00
-1.244111976626016913e+00 -4.749223796108108964e+00
-1.148487915243142199e+00 -4.461587797211057804e+00
-1.267143747140013765e+00 -4.455296294227153453e+00
-1.254209848030272578e+00 -4.689206111260323162e+00
-6.039407041124352782e-01 -3.133042642927621024e+00
1.019319858019815533e-01 -1.227093987793699492e+00
-1.309043796380005897e+00 -4.881462889436455121e+00
-1.058432830297079796e+00 -4.398489587601100759e+00
-1.195165227828199894e+00 -4.657763849922464949e+00
-9.900934725848188345e-01 -4.016648429460008884e+00
-1.108210915574787458e+00 -4.407424559208497072e+00
-1.449545328384245657e+00 -5.236530819604720222e+00
-1.086793115271142751e+00 -4.472389585879073870e+00
-1.040785985134926150e+00 -4.201991565866748601e+00
-1.051794252109159888e+00 -4.450330909693843928e+00
-1.357460379956188845e+00 -4.993946639210405714e+00
-1.232203425123558738e+00 -4.750572277234725860e+00
-9.376394211542508073e-01 -3.911789117663480919e+00
-1.391681074049248235e+00 -5.123087794734298761e+00
-1.107114331634744930e+00 -4.247764152239904334e+00
-1.091054636224959573e+00 -4.231182413904355677e+00
-9.990912038769613757e-01 -4.096967057723008843e+00
-6.771238772694350150e-01 -3.418946166667114817e+00
-1.410433482921575665e+00 -5.409347298332253473e+00
-1.165812391597946807e+00 -4.621922491210435524e+00
-4.898473714118992128e-01 -2.909553772043840247e+00
-1.284755842953734906e+00 -4.827353050028526660e+00
-6.128576431743745223e-01 -3.092575657152362378e+00
-9.920739375485871925e-01 -4.084745888870280339e+00
-9.132931324584487864e-01 -3.757878013913323212e+00
-8.709188792821229708e-01 -3.593553799397712023e+00
-5.133189760094026832e-01 -2.587096744261165870e+00
-1.237314687703514604e+00 -4.635071564237286168e+00
-1.259946764286673737e+00 -4.545459449554591913e+00
-3.674365148495748468e-01 -2.406859188594751675e+00
-1.173300788570989184e+00 -4.090010290157038320e+00
-3.121824952163705369e-01 -2.634252872195276929e+00
-1.240707807718852695e+00 -4.665888274360356469e+00
-6.220455228267294245e-01 -3.241056469592810352e+00
-7.593543536207182365e-01 -3.588984779345548048e+00
-6.813354333661608697e-01 -3.280326647300834342e+00
-1.074557324131592662e+00 -4.247389056889604220e+00
-1.047223781204528414e+00 -3.983097832682226613e+00
-3.867530622231912796e-01 -2.422658830169349020e+00
-1.507601599001828996e+00 -5.313648269699434934e+00
-9.063118367654918739e-01 -4.035370230137172776e+00
-8.964070222972486679e-01 -3.831996483892408989e+00
4.346352196969218151e-01 -2.389828232521777895e-01
-7.805440889432164742e-01 -3.662724100933194560e+00
-2.169335469615940037e-01 -2.217495536316591576e+00
-7.739837759610140866e-01 -3.520673742009146512e+00
-9.784169526510781978e-01 -3.506762994979756520e+00
-7.684140411587774278e-01 -3.163365124815616714e+00
-5.761265275653091322e-01 -2.871281618014164039e+00
-9.001069593327285512e-01 -3.781622903028721616e+00
-1.269009619865585803e+00 -4.510563511959419181e+00
-1.437728369903482184e+00 -5.041368049073069457e+00
-1.116945701711059336e+00 -4.137227961147121214e+00
-5.206068490658745107e-01 -2.990650748480611298e+00
-4.146284439583282633e-01 -2.636706871467259905e+00
-9.994630849647341275e-01 -4.314704155362440119e+00
-1.261321523620636542e+00 -4.586638986855479772e+00
-1.027635371852539503e+00 -4.134499225423171609e+00
-1.120391647727705609e+00 -4.400913531229087461e+00
-9.691379556298996834e-01 -4.033242399560186264e+00
-1.367698479676607848e+00 -5.436896303465232450e+00
-1.144752735929158272e+00 -4.524227649306014065e+00
-9.253699660177369113e-01 -3.910185309795722652e+00
-7.853447984986035024e-01 -3.473113105718257376e+00
-1.005611888383757035e+00 -4.141265746694617000e+00
-1.406033099969701494e+00 -5.245330388586372017e+00
-8.303860708091198584e-01 -3.965614467937779164e+00
-8.243746497920151350e-01 -3.624094712056812995e+00
-1.012315183957547937e+00 -4.099020770111887479e+00
-4.902302451122805271e-01 -2.822559109386117537e+00
-5.201031228659674932e-01 -2.907702243100614314e+00
-9.241857411829531577e-01 -3.822697515301691329e+00
-1.129280351070286681e+00 -4.380979467292055674e+00
-9.754680894664866653e-01 -3.921452361616924343e+00
-4.411223494024227865e-01 -2.566982386834328445e+00
-1.164986445460748588e+00 -4.495171162224895767e+00
-5.499812172439622060e-01 -2.947421571511511740e+00
4.678907565265352786e-01 -4.244064802022810556e-01
-1.148574792298330483e+00 -4.353778117994402841e+00
-1.145982266247242087e+00 -4.366992323969595802e+00
-1.337334868119763209e+00 -5.142378484401026739e+00
-8.576167415610242983e-01 -3.970025911519356132e+00
-1.342762194067148140e+00 -5.012598497246527174e+00
-1.126825619231319742e+00 -4.397845295084126249e+00
-4.160905310104395793e-01 -2.672795665683103561e+00
-1.406337036716647670e+00 -5.193466350194891668e+00
-7.835701917093081947e-01 -3.502866055810884838e+00
-1.191434849249452199e+00 -4.402831225888567346e+00
-7.585600756395101119e-01 -3.229523233019905071e+00
-1.090884254621300675e+00 -4.325655702970649052e+00
-5.595281243887677558e-01 -3.174375397072642269e+00
-1.197910415342256840e+00 -4.565042624596226339e+00
-8.113553890035953842e-01 -3.501054414143558002e+00
3.085700875550481670e-01 -6.671027311170554253e-01
-9.865167067078584040e-01 -3.977841894122625011e+00
-1.155156937573288634e+00 -4.547370318367605968e+00
-3.337238757896099361e-01 -2.379632592851776085e+00
-8.559260448875715133e-01 -3.542452555997556818e+00
-8.209624276079385830e-01 -3.559210405451143533e+00
-5.056568104574125089e-01 -3.052105085766261716e+00
-9.057946104924764485e-01 -3.799022255574986406e+00
-8.512848392028864453e-01 -3.649702253823341902e+00
-1.636850831596592948e-01 -1.848663085766474756e+00
-4.268368208235607808e-01 -2.552597888344223076e+00
-8.125574877967696175e-01 -3.560833309244183731e+00
-9.147151155390166322e-01 -3.830850817821502829e+00
-1.249045062047651200e+00 -4.742524755603555242e+00
-1.169916335540655883e+00 -4.491798612042086525e+00
-1.186666021958588502e+00 -4.725541039508917684e+00
-1.153148969501281096e+00 -4.692320982367326643e+00
-1.249644359845195396e+00 -4.871540862815969319e+00
-1.418458032899658106e+00 -5.202679254692184507e+00
-1.164813631910666114e+00 -4.597041661762269804e+00
-8.487579003444021275e-01 -3.692188373192931916e+00
-2.571056111909111319e-01 -2.020506729966817794e+00
-6.671870560215988899e-01 -3.381565830032202680e+00
-2.503654440373181619e-02 -1.533030036646288563e+00
-1.051357126703122757e+00 -4.026238428140016090e+00
-9.798553209272802267e-01 -4.049263483252073748e+00
-1.195428018450582108e+00 -4.760480213494456159e+00
-1.095791044165941530e+00 -4.249910780937938171e+00
-8.216295263891560952e-01 -3.548582144845572994e+00
-1.361654283429723611e+00 -5.045410797225064137e+00
-1.488085189938802788e+00 -5.315773424656747181e+00
-1.246309307737448968e+00 -4.788123112753231325e+00
-8.348406456947577992e-01 -3.741226796029152535e+00
1.840292472157682435e-01 -1.092862001464554034e+00
-1.048901158597813188e+00 -4.571538113003203563e+00
-1.014864957550653424e+00 -4.124955516376035192e+00
-5.872189135017300554e-01 -2.738834637011456685e+00
-3.597113423240994590e-01 -2.214442147554470885e+00
-1.256585046057347776e+00 -4.672151760648697305e+00
-1.273462290590276824e+00 -4.811397274233416788e+00
-9.246037577114992745e-01 -3.871833713023290269e+00
-1.070520397541977697e+00 -4.437840367652480467e+00
-1.354933515207179529e+00 -5.305540236937420495e+00
2.420205143215229948e-01 -9.026165994304419238e-01
-1.171478611208524701e+00 -4.588730656636768934e+00
-7.731714040199044735e-01 -3.455188149466080993e+00
-4.149670419803216381e-01 -2.546565362339096250e+00
-1.206103620637527518e+00 -4.823817485121574045e+00
-1.239348620715028826e+00 -4.770350872641368589e+00
-8.567210234330386864e-01 -3.701522373768460827e+00
-7.451792930771125034e-01 -3.497344444906431704e+00
-6.449408250439372381e-01 -2.965090014320737932e+00
-1.199576027759967189e+00 -4.490641447994148550e+00
-1.159850524151050610e+00 -4.337750779822741265e+00
-1.130426426343970725e+00 -3.990431827960306155e+00
-1.224416557710513054e+00 -4.554234426202186548e+00
-7.900094954571545980e-01 -3.691882721385125965e+00
-1.337856347116493261e+00 -4.853451188674736905e+00
-9.334052885763763907e-01 -3.927059086872578764e+00
-1.002275108064612175e+00 -3.952307397983998438e+00
-1.482880599607642846e+00 -5.559644379220487487e+00
-1.319599646822131156e+00 -5.082630753529822520e+00
-8.195194721041990094e-02 -1.650696201310753120e+00
-9.264018955576495129e-01 -4.057891741217046544e+00
-6.842922401803002153e-01 -3.166243283024014588e+00
-9.067885741637168318e-01 -4.027995747010307603e+00
3.965520720462289428e-01 -5.652840720093167404e-01
-1.200670132278014890e+00 -4.650991344421191442e+00
-8.154185454497622221e-01 -3.603632403405153894e+00
-1.363675642401512400e+00 -4.816038074074591613e+00
-1.012056014135209292e+00 -3.814005299559468209e+00
-1.223264349268938345e+00 -4.428571426757621943e+00
-1.051151272238228573e+00 -3.949897001504524940e+00
-1.249631395618131302e+00 -4.809326036458695164e+00
3.498416033144219894e-01 -5.147793499722170818e-01
